invasion_status02,plot_id,invasion,distance,Latitude_gcjTogps,Longitude_gcjTogps,elevation_m,soil_moist,local_coverage_perc,local_no.plants,local_aboveground_mass,local_vegetative_mass,local_sexual_organ_mass,evenness,richness,simpson_index,Sample_Name,X16s_chao1,X16s_dominance,X16s_goods_coverage,X16s_observed_features,X16s_pielou_e,X16s_shannon,X16s_simpson,its_chao1,its_dominance,its_goods_coverage,its_observed_features,its_pielou_e,its_shannon,its_simpson,totalC,totalN,totalK,totalP
invasive,10_1,ap,1m,28.37380338,119.8164209,60,9.83,10,15,6.81,4.0009,2.8091,0.996791632,2,0.497777778,DC10,2825.643,0.003,0.995,2751,0.879,10.038,0.997,1189.336,0.014,0.999,1177,0.744,7.593,0.986,8.987848359,0.901760924,25.82846004,0.337815391
native,10_1,ap,1m,28.37380338,119.8164209,60,9.83,56.6,113,66.9213,65.9034,1.0179,0.612252098,8,0.599420471,DC10,2825.643,0.003,0.995,2751,0.879,10.038,0.997,1189.336,0.014,0.999,1177,0.744,7.593,0.986,8.987848359,0.901760924,25.82846004,0.337815391
non_invasive,10_1,ap,1m,28.37380338,119.8164209,60,9.83,19,44,11.0196,9.5858,1.4338,0.979497238,5,0.786157025,DC10,2825.643,0.003,0.995,2751,0.879,10.038,0.997,1189.336,0.014,0.999,1177,0.744,7.593,0.986,8.987848359,0.901760924,25.82846004,0.337815391
invasive,10_2,ap,5m,28.37384539,119.8164309,60,11.46,8.5,13,34.0214,33.8741,0.1473,0.895640306,3,0.591715976,DA10,2150.908,0.003,0.999,2136,0.891,9.854,0.997,1441.053,0.021,0.996,1342,0.701,7.283,0.979,16.78823646,1.473562854,25.3411306,0.313544899
native,10_2,ap,5m,28.37384539,119.8164309,60,11.46,66.5,175,40.4867,28.0091,12.4776,0.824993238,9,0.81195102,DA10,2150.908,0.003,0.999,2136,0.891,9.854,0.997,1441.053,0.021,0.996,1342,0.701,7.283,0.979,16.78823646,1.473562854,25.3411306,0.313544899
non_invasive,10_2,ap,5m,28.37384539,119.8164309,60,11.46,14.7,33,6.5257,6.5257,0,0.648017548,3,0.438934803,DA10,2150.908,0.003,0.999,2136,0.891,9.854,0.997,1441.053,0.021,0.996,1342,0.701,7.283,0.979,16.78823646,1.473562854,25.3411306,0.313544899
invasive,10_3,non_ap,1m,28.3739884,119.8164509,60,8.6,18,11,10.93843,10.93843,0,0.945660305,2,0.462809917,NC10,3228.997,0.004,0.994,3116,0.868,10.078,0.996,1389.758,0.131,0.995,1253,0.529,5.446,0.869,13.27945027,1.24670917,26.54440154,0.307416956
native,10_3,non_ap,1m,28.3739884,119.8164509,60,8.6,100,132,5.8701,5.0184,0.8517,0.556637152,4,0.514921947,NC10,3228.997,0.004,0.994,3116,0.868,10.078,0.996,1389.758,0.131,0.995,1253,0.529,5.446,0.869,13.27945027,1.24670917,26.54440154,0.307416956
invasive,10_4,non_ap,5m,28.37386076,119.8166315,60,8.6,35,38,7.8461,7.8461,0,0.485460761,2,0.188365651,NA10,3871.846,0.001,0.992,3733,0.903,10.715,0.999,1277.366,0.116,0.996,1155,0.547,5.562,0.884,8.008710773,0.738693882,25.71926765,0.549393781
native,10_4,non_ap,5m,28.37386076,119.8166315,60,8.6,30,1,53.9578,35.5916,18.3662,NA,1,NA,NA10,3871.846,0.001,0.992,3733,0.903,10.715,0.999,1277.366,0.116,0.996,1155,0.547,5.562,0.884,8.008710773,0.738693882,25.71926765,0.549393781
invasive,1_1,ap,1m,28.39050173,119.8204514,55,14.87,4.5,66,0.9088,0.9088,0,0.905618518,3,0.595041322,DC1,2724.422,0.002,0.997,2659,0.896,10.192,0.998,1270.127,0.028,0.998,1246,0.672,6.913,0.972,15.84097418,1.409770018,27.04031465,0.380297288
native,1_1,ap,1m,28.39050173,119.8204514,55,14.87,1.5,39,0.3904,0.3904,0,0.172036949,2,0.049967127,DC1,2724.422,0.002,0.997,2659,0.896,10.192,0.998,1270.127,0.028,0.998,1246,0.672,6.913,0.972,15.84097418,1.409770018,27.04031465,0.380297288
non_invasive,1_1,ap,1m,28.39050173,119.8204514,55,14.87,31,218,11.3641,11.3641,0,0.89538489,2,0.429256797,DC1,2724.422,0.002,0.997,2659,0.896,10.192,0.998,1270.127,0.028,0.998,1246,0.672,6.913,0.972,15.84097418,1.409770018,27.04031465,0.380297288
invasive,1_2,ap,5m,28.39036996,119.8205617,52,18.23,9.5,53,3.3509,2.9179,0.433,0.987380023,2,0.491278035,DA1,2027.472,0.032,0.996,1964,0.691,7.564,0.968,1606.932,0.033,0.993,1370,0.623,6.487,0.967,22.79569387,1.940741522,25.32274081,0.439114515
native,1_2,ap,5m,28.39036996,119.8205617,52,18.23,16.1,63,6.5439,6.5439,0,0.597245631,4,0.494834971,DA1,2027.472,0.032,0.996,1964,0.691,7.564,0.968,1606.932,0.033,0.993,1370,0.623,6.487,0.967,22.79569387,1.940741522,25.32274081,0.439114515
non_invasive,1_2,ap,5m,28.39036996,119.8205617,52,18.23,32,140,13.3215,13.3215,0,1,2,0.5,DA1,2027.472,0.032,0.996,1964,0.691,7.564,0.968,1606.932,0.033,0.993,1370,0.623,6.487,0.967,22.79569387,1.940741522,25.32274081,0.439114515
invasive,1_3,non_ap,1m,28.39030564,119.8203812,51,10.3,60.5,301,25.8404,18.2012,7.6392,0.443716305,4,0.298186554,NC1,2747.679,0.022,0.996,2673,0.792,9.014,0.978,1612.539,0.025,0.995,1481,0.686,7.226,0.975,18.0187875,1.73232963,25.04317789,0.542093991
non_invasive,1_3,non_ap,1m,28.39030564,119.8203812,51,10.3,40.1,152,9.7684,9.7684,0,0.736570564,3,0.498614958,NC1,2747.679,0.022,0.996,2673,0.792,9.014,0.978,1612.539,0.025,0.995,1481,0.686,7.226,0.975,18.0187875,1.73232963,25.04317789,0.542093991
invasive,1_4,non_ap,5m,28.39028589,119.8205116,52,15,3.9,29,4.3119,2.0505,2.2614,0.435780061,3,0.244946492,NA1,2954.448,0.011,0.995,2858,0.827,9.494,0.989,1367.617,0.031,0.998,1342,0.703,7.306,0.969,9.5412123,0.999735777,26.46502836,0.427817478
native,1_4,non_ap,5m,28.39028589,119.8205116,52,15,12,42,4.8053,4.8053,0,0.16232618,2,0.046485261,NA1,2954.448,0.011,0.995,2858,0.827,9.494,0.989,1367.617,0.031,0.998,1342,0.703,7.306,0.969,9.5412123,0.999735777,26.46502836,0.427817478
non_invasive,1_4,non_ap,5m,28.39028589,119.8205116,52,15,71,273,30.1894,30.1894,0,0.628317228,2,0.265400046,NA1,2954.448,0.011,0.995,2858,0.827,9.494,0.989,1367.617,0.031,0.998,1342,0.703,7.306,0.969,9.5412123,0.999735777,26.46502836,0.427817478
invasive,2_1,ap,1m,28.39298573,119.820722,54,3.12,5,2,8.3478,8.3478,0,NA,1,NA,DC2,3233.202,0.005,0.992,3006,0.854,9.87,0.995,920.889,0.017,0.998,861,0.728,7.1,0.983,29.36087922,2.460157708,24.49168207,0.473265473
native,2_1,ap,1m,28.39298573,119.820722,54,3.12,29.3,50,48.5817,43.1012,5.4805,0.858672711,3,0.58,DC2,3233.202,0.005,0.992,3006,0.854,9.87,0.995,920.889,0.017,0.998,861,0.728,7.1,0.983,29.36087922,2.460157708,24.49168207,0.473265473
non_invasive,2_1,ap,1m,28.39298573,119.820722,54,3.12,0.1,6,0.2142,0.2142,0,NA,1,NA,DC2,3233.202,0.005,0.992,3006,0.854,9.87,0.995,920.889,0.017,0.998,861,0.728,7.1,0.983,29.36087922,2.460157708,24.49168207,0.473265473
native,2_2,ap,5m,28.3930647,119.8207119,58,4.63,23.5,76,60.2542,60.2542,0,0.668307226,3,0.493421053,DA2,1999.086,0.011,0.997,1934,0.799,8.719,0.989,785,0.037,1,785,0.681,6.546,0.963,60.85420267,4.387153071,26.31578947,0.743242168
non_invasive,2_2,ap,5m,28.3930647,119.8207119,58,4.63,1.5,8,1.6256,1.6256,0,NA,1,NA,DA2,1999.086,0.011,0.997,1934,0.799,8.719,0.989,785,0.037,1,785,0.681,6.546,0.963,60.85420267,4.387153071,26.31578947,0.743242168
native,2_3,non_ap,1m,28.39319793,119.8208523,61,12.47,60,129,144.7491,133.6581,11.091,0.606963862,4,0.43062316,NC2,2691.612,0.004,0.996,2630,0.863,9.805,0.996,1606.205,0.025,0.995,1467,0.694,7.304,0.975,12.08224499,1.307804522,24.45907808,0.501371958
non_invasive,2_3,non_ap,1m,28.39319793,119.8208523,61,12.47,43,16,8.9329,8.9329,0,0.954434003,2,0.46875,NC2,2691.612,0.004,0.996,2630,0.863,9.805,0.996,1606.205,0.025,0.995,1467,0.694,7.304,0.975,12.08224499,1.307804522,24.45907808,0.501371958
native,2_4,non_ap,5m,28.3929301,119.8209125,61,12.3,70,149,131.6936,125.6707,6.0229,0.801193343,5,0.672131886,NA2,3226.318,0.003,0.995,3132,0.885,10.278,0.997,2419.828,0.013,0.992,2200,0.749,8.312,0.987,11.9412516,1.016055151,26.88679245,0.409580723
non_invasive,2_4,non_ap,5m,28.3929301,119.8209125,61,12.3,35,70,1.753,1.753,0,NA,1,NA,NA2,3226.318,0.003,0.995,3132,0.885,10.278,0.997,2419.828,0.013,0.992,2200,0.749,8.312,0.987,11.9412516,1.016055151,26.88679245,0.409580723
invasive,3_1,ap,1m,28.39298573,119.820722,54,5.9,2,8,0.6347,0.6347,0,NA,1,NA,DC3,2702.765,0.008,0.994,2595,0.822,9.326,0.992,1010.519,0.032,0.998,987,0.67,6.66,0.968,19.37120505,2.017565493,24.5825603,0.572636611
native,3_1,ap,1m,28.39298573,119.820722,54,5.9,37.5,114,73.5679,73.5679,0,0.752136854,5,0.634656817,DC3,2702.765,0.008,0.994,2595,0.822,9.326,0.992,1010.519,0.032,0.998,987,0.67,6.66,0.968,19.37120505,2.017565493,24.5825603,0.572636611
non_invasive,3_1,ap,1m,28.39298573,119.820722,54,5.9,0.5,1,0.1561,0.1561,0,NA,1,NA,DC3,2702.765,0.008,0.994,2595,0.822,9.326,0.992,1010.519,0.032,0.998,987,0.67,6.66,0.968,19.37120505,2.017565493,24.5825603,0.572636611
invasive,3_2,ap,5m,28.39298371,119.8207119,54,8.87,1,10,0.1262,0.1262,0,0.468995594,2,0.18,DA3,2810.763,0.003,0.996,2736,0.874,9.976,0.997,871.727,0.05,0.999,852,0.637,6.205,0.95,31.24147559,2.364468956,24.43609023,0.596025415
native,3_2,ap,5m,28.39298371,119.8207119,54,8.87,54.5,120,94.90823,93.15923,1.749,0.742443751,4,0.590694444,DA3,2810.763,0.003,0.996,2736,0.874,9.976,0.997,871.727,0.05,0.999,852,0.637,6.205,0.95,31.24147559,2.364468956,24.43609023,0.596025415
non_invasive,3_2,ap,5m,28.39298371,119.8207119,54,8.87,6,24,17.238,17.238,0,0.870864469,2,0.413194444,DA3,2810.763,0.003,0.996,2736,0.874,9.976,0.997,871.727,0.05,0.999,852,0.637,6.205,0.95,31.24147559,2.364468956,24.43609023,0.596025415
native,3_3,non_ap,1m,28.39527384,119.8220958,69,6.4,100,387,40.28857,40.28857,0,0.252623762,6,0.17970341,NC3,2415.965,0.004,0.997,2356,0.875,9.805,0.996,1123.739,0.065,0.996,995,0.614,6.117,0.935,18.4308866,1.72803894,25.32751092,0.867454119
non_invasive,3_3,non_ap,1m,28.39527384,119.8220958,69,6.4,8,8,9.8691,9.8691,0,NA,1,NA,NC3,2415.965,0.004,0.997,2356,0.875,9.805,0.996,1123.739,0.065,0.996,995,0.614,6.117,0.935,18.4308866,1.72803894,25.32751092,0.867454119
invasive,3_4,non_ap,5m,28.39537697,119.8221761,69,7.46,1,8,0.0123,0.0123,0,NA,1,NA,NA3,2715.743,0.004,0.996,2665,0.871,9.915,0.996,1109.341,0.094,0.997,998,0.581,5.789,0.906,22.23611768,1.884588767,25.06963788,0.773800596
native,3_4,non_ap,5m,28.39537697,119.8221761,69,7.46,100,112,321.5345,321.5345,0,0.80779559,5,0.694515306,NA3,2715.743,0.004,0.996,2665,0.871,9.915,0.996,1109.341,0.094,0.997,998,0.581,5.789,0.906,22.23611768,1.884588767,25.06963788,0.773800596
non_invasive,3_4,non_ap,5m,28.39537697,119.8221761,69,7.46,5,7,40.2263,40.2263,0,NA,1,NA,NA3,2715.743,0.004,0.996,2665,0.871,9.915,0.996,1109.341,0.094,0.997,998,0.581,5.789,0.906,22.23611768,1.884588767,25.06963788,0.773800596
native,4_1,ap,1m,28.38814422,119.81993,66,15.6,90.5,119,120.1955,120.1955,0,0.664294196,4,0.520725937,DC4,2513.251,0.004,0.997,2453,0.876,9.863,0.996,1568.135,0.038,0.995,1433,0.661,6.932,0.962,30.0638187,2.386404268,27.18446602,0.604781739
non_invasive,4_1,ap,1m,28.38814422,119.81993,66,15.6,2,11,3.545,3.545,0,0.684038436,2,0.297520661,DC4,2513.251,0.004,0.997,2453,0.876,9.863,0.996,1568.135,0.038,0.995,1433,0.661,6.932,0.962,30.0638187,2.386404268,27.18446602,0.604781739
invasive,4_2,ap,5m,28.38819901,119.8198197,62,15.97,0.5,6,1.9044,1.9044,0,NA,1,NA,DA4,2258.712,0.003,0.997,2200,0.884,9.813,0.997,1553.088,0.02,0.995,1435,0.698,7.315,0.98,25.07142459,1.977768127,25.24271845,0.407472443
native,4_2,ap,5m,28.38819901,119.8198197,62,15.97,52.5,103,24.0565,21.911,2.1455,0.649879276,10,0.674144594,DA4,2258.712,0.003,0.997,2200,0.884,9.813,0.997,1553.088,0.02,0.995,1435,0.698,7.315,0.98,25.07142459,1.977768127,25.24271845,0.407472443
non_invasive,4_2,ap,5m,28.38819901,119.8198197,62,15.97,8.5,29,2.0028,2.0028,0,0.479832024,2,0.18549346,DA4,2258.712,0.003,0.997,2200,0.884,9.813,0.997,1553.088,0.02,0.995,1435,0.698,7.315,0.98,25.07142459,1.977768127,25.24271845,0.407472443
invasive,4_3,non_ap,1m,28.38821713,119.8198899,64,17.25,30,15,39.9354,39.9354,0,NA,1,NA,NC4,4058.554,0.003,0.989,3806,0.876,10.418,0.997,1260.879,0.046,0.996,1147,0.635,6.454,0.954,35.18708731,2.714092405,25.28625954,0.566800851
native,4_3,non_ap,1m,28.38821713,119.8198899,64,17.25,100,120,129.009,122.4097,6.5993,0.804886801,5,0.679583333,NC4,4058.554,0.003,0.989,3806,0.876,10.418,0.997,1260.879,0.046,0.996,1147,0.635,6.454,0.954,35.18708731,2.714092405,25.28625954,0.566800851
invasive,4_4,non_ap,5m,28.38825828,119.8199701,66,16.53,5,1,1.1707,1.1707,0,NA,1,NA,NA4,1960.454,0.003,0.999,1952,0.899,9.828,0.997,1464.839,0.019,0.996,1344,0.711,7.39,0.981,27.78850964,2.08920402,25.67975831,0.788294982
native,4_4,non_ap,5m,28.38825828,119.8199701,66,16.53,100,87,32.0559,32.0559,0,0.672711436,5,0.592680671,NA4,1960.454,0.003,0.999,1952,0.899,9.828,0.997,1464.839,0.019,0.996,1344,0.711,7.39,0.981,27.78850964,2.08920402,25.67975831,0.788294982
invasive,5_1,ap,1m,28.3883174,119.8184456,68,39.73,15.5,25,7.659,6.3594,1.2996,0.721928095,2,0.32,DC5,3638.266,0.004,0.989,3382,0.854,10.014,0.996,985.53,0.029,0.998,933,0.697,6.874,0.971,20.89243439,1.999767865,25.52083333,0.82208658
native,5_1,ap,1m,28.3883174,119.8184456,68,39.73,66.5,111,91.6157,87.2082,4.4075,0.786582758,8,0.734193653,DC5,3638.266,0.004,0.989,3382,0.854,10.014,0.996,985.53,0.029,0.998,933,0.697,6.874,0.971,20.89243439,1.999767865,25.52083333,0.82208658
non_invasive,5_1,ap,1m,28.3883174,119.8184456,68,39.73,91,53,106.5042,106.5042,0,0.77170947,2,0.350302599,DC5,3638.266,0.004,0.989,3382,0.854,10.014,0.996,985.53,0.029,0.998,933,0.697,6.874,0.971,20.89243439,1.999767865,25.52083333,0.82208658
invasive,5_2,ap,5m,28.38856804,119.8182751,58,18.07,7,8,21.6174,19.8113,1.8061,NA,1,NA,DA5,2683.516,0.003,0.996,2593,0.881,9.99,0.997,1228.617,0.056,0.997,1169,0.629,6.412,0.944,10.47122161,1.213856028,22.96819788,0.717754498
native,5_2,ap,5m,28.38856804,119.8182751,58,18.07,26.5,57,33.8355,32.2382,1.5973,0.706207444,5,0.621114189,DA5,2683.516,0.003,0.996,2593,0.881,9.99,0.997,1228.617,0.056,0.997,1169,0.629,6.412,0.944,10.47122161,1.213856028,22.96819788,0.717754498
invasive,5_3,non_ap,1m,28.38843416,119.8183253,67,42.1,10,53,10.0677,10.0677,0,NA,1,NA,NC5,4056.125,0.004,0.989,3781,0.88,10.46,0.996,2175.491,0.01,0.995,2053,0.775,8.528,0.99,21.65180365,3.030244615,23.22404372,1.072117433
native,5_3,non_ap,1m,28.38843416,119.8183253,67,42.1,100,152,54.549,54.549,0,0.782972197,5,0.677112188,NC5,4056.125,0.004,0.989,3781,0.88,10.46,0.996,2175.491,0.01,0.995,2053,0.775,8.528,0.99,21.65180365,3.030244615,23.22404372,1.072117433
non_invasive,5_3,non_ap,1m,28.38843416,119.8183253,67,42.1,40,4,30.07,30.07,0,NA,1,NA,NC5,4056.125,0.004,0.989,3781,0.88,10.46,0.996,2175.491,0.01,0.995,2053,0.775,8.528,0.99,21.65180365,3.030244615,23.22404372,1.072117433
native,5_4,non_ap,5m,28.38873606,119.8183052,58,6.8,36,107,34.5219,34.5219,0,0.569443481,3,0.333653594,NA5,3793.355,0.003,0.99,3521,0.882,10.389,0.997,2120.67,0.021,0.993,1939,0.719,7.848,0.979,34.6550472,2.950225087,24.48210923,0.812716023
non_invasive,5_4,non_ap,5m,28.38873606,119.8183052,58,6.8,80,28,19.4424,19.4424,0,NA,1,NA,NA5,3793.355,0.003,0.99,3521,0.882,10.389,0.997,2120.67,0.021,0.993,1939,0.719,7.848,0.979,34.6550472,2.950225087,24.48210923,0.812716023
invasive,6_1,ap,1m,28.38399719,119.8200106,65,17.9,0.5,3,0.1088,0.1088,0,NA,1,NA,DC6,3043.319,0.004,0.995,2958,0.878,10.123,0.996,2057.311,0.012,0.994,1897,0.753,8.201,0.988,9.279285907,0.982134425,26.57973922,0.507974239
native,6_1,ap,1m,28.38399719,119.8200106,65,17.9,86,177,91.58321,91.58321,0,0.857095031,7,0.788087714,DC6,3043.319,0.004,0.995,2958,0.878,10.123,0.996,2057.311,0.012,0.994,1897,0.753,8.201,0.988,9.279285907,0.982134425,26.57973922,0.507974239
native,6_2,ap,5m,28.38403924,119.8200407,60,17.3,91.1,220,119.6434,119.1304,0.513,0.740102297,5,0.634793388,DA6,2860.48,0.009,0.995,2785,0.84,9.616,0.991,1758.219,0.016,0.994,1574,0.73,7.751,0.984,10.56053383,1.05479248,24.30886559,0.313562003
non_invasive,6_2,ap,5m,28.38403924,119.8200407,60,17.3,4.5,9,3.4537,3.4537,0,0.965633607,3,0.641975309,DA6,2860.48,0.009,0.995,2785,0.84,9.616,0.991,1758.219,0.016,0.994,1574,0.73,7.751,0.984,10.56053383,1.05479248,24.30886559,0.313562003
invasive,6_3,non_ap,1m,28.38399755,119.8202011,63,12.9,30,7,13.5018,13.5018,0,0.982141033,3,0.653061224,NC6,3042.306,0.004,0.995,2968,0.876,10.107,0.996,1873.888,0.029,0.994,1708,0.677,7.266,0.971,17.37153437,1.536881719,25.4491018,0.794842906
native,6_3,non_ap,1m,28.38399755,119.8202011,63,12.9,100,43,170.618,170.618,0,0.159350063,2,0.045429962,NC6,3042.306,0.004,0.995,2968,0.876,10.107,0.996,1873.888,0.029,0.994,1708,0.677,7.266,0.971,17.37153437,1.536881719,25.4491018,0.794842906
invasive,6_4,non_ap,5m,28.38407261,119.8202413,61,12.6,10,2,2.1138,2.1138,0,NA,1,NA,NA6,4063.574,0.011,0.989,3837,0.84,9.995,0.989,1477.719,0.029,0.994,1308,0.661,6.839,0.971,8.38131248,0.881889741,25.18315018,0.321075977
native,6_4,non_ap,5m,28.38407261,119.8202413,61,12.6,100,31,113.4718,113.4718,0,0.345467577,3,0.178980229,NA6,4063.574,0.011,0.989,3837,0.84,9.995,0.989,1477.719,0.029,0.994,1308,0.661,6.839,0.971,8.38131248,0.881889741,25.18315018,0.321075977
non_invasive,6_4,non_ap,5m,28.38407261,119.8202413,61,12.6,25,1,0.5139,0.5139,0,NA,1,NA,NA6,4063.574,0.011,0.989,3837,0.84,9.995,0.989,1477.719,0.029,0.994,1308,0.661,6.839,0.971,8.38131248,0.881889741,25.18315018,0.321075977
invasive,7_1,ap,1m,28.38368139,119.8190177,58,35.7,7,11,10.5078,7.2086,3.2992,0.439496987,2,0.165289256,DC7,2645.496,0.004,0.996,2592,0.872,9.889,0.996,1034.185,0.058,0.999,1025,0.694,6.936,0.942,8.950669605,0.935261992,23.99232246,0.419739603
native,7_1,ap,1m,28.38368139,119.8190177,58,35.7,33,47,39.6301,38.8877,0.7424,0.811736372,3,0.5314622,DC7,2645.496,0.004,0.996,2592,0.872,9.889,0.996,1034.185,0.058,0.999,1025,0.694,6.936,0.942,8.950669605,0.935261992,23.99232246,0.419739603
non_invasive,7_1,ap,1m,28.38368139,119.8190177,58,35.7,9,25,2.3133,2.2408,0.0725,0.40217919,2,0.1472,DC7,2645.496,0.004,0.996,2592,0.872,9.889,0.996,1034.185,0.058,0.999,1025,0.694,6.936,0.942,8.950669605,0.935261992,23.99232246,0.419739603
invasive,7_2,ap,5m,28.3835301,119.8188472,58,33.9,2,3,6.657,6.657,0,NA,1,NA,DA7,2770.619,0.02,0.995,2664,0.833,9.484,0.98,1580.857,0.014,0.998,1548,0.733,7.763,0.986,26.89403983,2.068161828,24.23469388,0.628058496
native,7_2,ap,5m,28.3835301,119.8188472,58,33.9,56,120,101.3774,96.9082,4.4692,0.517185903,6,0.429861111,DA7,2770.619,0.02,0.995,2664,0.833,9.484,0.98,1580.857,0.014,0.998,1548,0.733,7.763,0.986,26.89403983,2.068161828,24.23469388,0.628058496
non_invasive,7_2,ap,5m,28.3835301,119.8188472,58,33.9,3.5,7,1.7486,1.6133,0.1353,0.591672779,2,0.244897959,DA7,2770.619,0.02,0.995,2664,0.833,9.484,0.98,1580.857,0.014,0.998,1548,0.733,7.763,0.986,26.89403983,2.068161828,24.23469388,0.628058496
native,7_3,non_ap,1m,28.38331254,119.8185263,59,32.6,100,38,165.7227,160.1929,5.5298,0.726296248,6,0.66066482,NC7,1834.005,0.144,0.997,1789,0.615,6.646,0.856,1108.792,0.05,0.998,1076,0.616,6.205,0.95,7.652743121,0.845949009,22.32518955,0.348163788
native,7_4,non_ap,5m,28.38327971,119.8186165,58,15.3,31,21,65.7315,64.4378,1.2937,0.55913758,4,0.394557823,NA7,2703.161,0.002,0.996,2628,0.892,10.137,0.998,1656.211,0.017,0.995,1528,0.724,7.658,0.983,39.56713916,3.312646915,23.63636364,0.583821629
non_invasive,7_4,non_ap,5m,28.38327971,119.8186165,58,15.3,50,25,29.3412,29.3412,0,NA,1,NA,NA7,2703.161,0.002,0.996,2628,0.892,10.137,0.998,1656.211,0.017,0.995,1528,0.724,7.658,0.983,39.56713916,3.312646915,23.63636364,0.583821629
invasive,8_1,ap,1m,28.37583021,119.8186673,44,23.07,1.5,1,1.5636,1.5636,0,NA,1,NA,DC8,4673.603,0.014,0.985,4296,0.824,9.95,0.986,1817.932,0.02,0.993,1564,0.685,7.272,0.98,7.086112613,0.690417923,24.47257384,0.453821132
