invasion_status02,plot_id,invasion,distance,Latitude_gcjTogps,Longitude_gcjTogps,elevation_m,soil_moist,local_coverage_perc,local_no.plants,local_aboveground_mass,local_vegetative_mass,local_sexual_organ_mass,evenness,richness,simpson_index,Sample_Name,X16s_chao1,X16s_dominance,X16s_goods_coverage,X16s_observed_features,X16s_pielou_e,X16s_shannon,X16s_simpson,its_chao1,its_dominance,its_goods_coverage,its_observed_features,its_pielou_e,its_shannon,its_simpson,totalC,totalN,totalK,totalP
native,8_1,ap,1m,28.37583021,119.8186673,44,23.07,40.8,101,104.54403,104.54403,0,0.346197382,5,0.250367611,DC8,4673.603,0.014,0.985,4296,0.824,9.95,0.986,1817.932,0.02,0.993,1564,0.685,7.272,0.98,7.086112613,0.690417923,24.47257384,0.453821132
non_invasive,8_1,ap,1m,28.37583021,119.8186673,44,23.07,2,5,0.8068,0.8068,0,NA,1,NA,DC8,4673.603,0.014,0.985,4296,0.824,9.95,0.986,1817.932,0.02,0.993,1564,0.685,7.272,0.98,7.086112613,0.690417923,24.47257384,0.453821132
invasive,8_2,ap,5m,28.38162576,119.8195394,46,16.83,3.5,9,3.2792,3.2792,0,0.764204507,2,0.345679012,DA8,2513.837,0.002,0.998,2499,0.891,10.059,0.998,1808.125,0.024,0.997,1768,0.72,7.765,0.976,8.081047885,0.880762394,27.66798419,0.480601227
native,8_2,ap,5m,28.38162576,119.8195394,46,16.83,87,230,28.81999,28.81999,0,0.686329351,7,0.659546314,DA8,2513.837,0.002,0.998,2499,0.891,10.059,0.998,1808.125,0.024,0.997,1768,0.72,7.765,0.976,8.081047885,0.880762394,27.66798419,0.480601227
non_invasive,8_2,ap,5m,28.38162576,119.8195394,46,16.83,22,26,18.9369,18.9369,0,0.961236605,2,0.473372781,DA8,2513.837,0.002,0.998,2499,0.891,10.059,0.998,1808.125,0.024,0.997,1768,0.72,7.765,0.976,8.081047885,0.880762394,27.66798419,0.480601227
invasive,8_3,non_ap,1m,28.38159171,119.8195093,45,14.5,10,2,0.165,0.165,0,1,2,0.5,NC8,2337.372,0.004,0.998,2319,0.872,9.75,0.996,1909.84,0.013,0.995,1750,0.751,8.091,0.987,7.354834361,0.751908158,26.34146341,0.354602309
native,8_3,non_ap,1m,28.38159171,119.8195093,45,14.5,100,174,1.818,1.818,0,0.064378877,3,0.022790329,NC8,2337.372,0.004,0.998,2319,0.872,9.75,0.996,1909.84,0.013,0.995,1750,0.751,8.091,0.987,7.354834361,0.751908158,26.34146341,0.354602309
non_invasive,8_3,non_ap,1m,28.38159171,119.8195093,45,14.5,15,28,13.1174,13.1174,0,NA,1,NA,NC8,2337.372,0.004,0.998,2319,0.872,9.75,0.996,1909.84,0.013,0.995,1750,0.751,8.091,0.987,7.354834361,0.751908158,26.34146341,0.354602309
native,8_4,non_ap,5m,28.38163676,119.8195394,46,12.85,100,16,5.8305,4.9681,0.8624,0.593139062,4,0.4140625,NA8,1860,0.009,1,1860,0.862,9.365,0.991,1043.472,0.056,0.996,908,0.598,5.879,0.944,11.43721348,1.133346476,25.25684932,0.445296226
non_invasive,8_4,non_ap,5m,28.38163676,119.8195394,46,12.85,5,20,16.7595,16.7595,0,NA,1,NA,NA8,1860,0.009,1,1860,0.862,9.365,0.991,1043.472,0.056,0.996,908,0.598,5.879,0.944,11.43721348,1.133346476,25.25684932,0.445296226
invasive,9_1,ap,1m,28.38351499,119.8182555,47,25.5,11,46,23.8194,23.8194,0,0.804895684,4,0.594517958,DC9,1954.265,0.003,0.999,1947,0.885,9.665,0.997,1530.314,0.039,0.996,1418,0.652,6.823,0.961,12.59315934,1.342201604,26.99896158,0.503387219
native,9_1,ap,1m,28.38351499,119.8182555,47,25.5,51.3,184,51.6289,50.5111,1.1178,0.717204826,12,0.723653119,DC9,1954.265,0.003,0.999,1947,0.885,9.665,0.997,1530.314,0.039,0.996,1418,0.652,6.823,0.961,12.59315934,1.342201604,26.99896158,0.503387219
non_invasive,9_1,ap,1m,28.38351499,119.8182555,47,25.5,9,46,13.019,13.019,0,NA,1,NA,DC9,1954.265,0.003,0.999,1947,0.885,9.665,0.997,1530.314,0.039,0.996,1418,0.652,6.823,0.961,12.59315934,1.342201604,26.99896158,0.503387219
invasive,9_2,ap,5m,28.38348885,119.8181752,48,29.1,11,13,13.8634,10.2178,3.6456,NA,1,NA,DA9,2701.679,0.002,0.996,2627,0.88,9.994,0.998,1126.791,0.049,0.997,1055,0.665,6.675,0.951,23.58455763,2.244442828,25.58139535,0.706494829
native,9_2,ap,5m,28.38348885,119.8181752,48,29.1,68,119,42.2669,41.171,1.0959,0.977480183,3,0.649671633,DA9,2701.679,0.002,0.996,2627,0.88,9.994,0.998,1126.791,0.049,0.997,1055,0.665,6.675,0.951,23.58455763,2.244442828,25.58139535,0.706494829
invasive,9_3,non_ap,1m,28.38474042,119.8180748,47,19.6,17,59,14.9176,13.8581,1.0595,0.363440998,3,0.187877047,NC9,3175.831,0.004,0.995,3101,0.879,10.198,0.996,1327.308,0.025,0.997,1295,0.697,7.208,0.975,12.79492939,1.376327022,26.1627907,0.335072981
native,9_3,non_ap,1m,28.38474042,119.8180748,47,19.6,32,66,73.7728,67.7563,6.0165,0.581082732,4,0.506887052,NC9,3175.831,0.004,0.995,3101,0.879,10.198,0.996,1327.308,0.025,0.997,1295,0.697,7.208,0.975,12.79492939,1.376327022,26.1627907,0.335072981
non_invasive,9_3,non_ap,1m,28.38474042,119.8180748,47,19.6,50,98,15.4411,15.4411,0,NA,1,NA,NC9,3175.831,0.004,0.995,3101,0.879,10.198,0.996,1327.308,0.025,0.997,1295,0.697,7.208,0.975,12.79492939,1.376327022,26.1627907,0.335072981
invasive,9_4,non_ap,5m,28.38472614,119.8179244,48,16.1,25,28,5.674,5.674,0,NA,1,NA,NA9,2141.41,0.035,0.996,2065,0.727,8.007,0.965,587.263,0.044,0.999,578,0.641,5.88,0.956,10.2616454,1.155363942,25.12820513,0.384321248
native,9_4,non_ap,5m,28.38472614,119.8179244,48,16.1,58,27,82.5295,82.5295,0,0.866045763,4,0.65569273,NA9,2141.41,0.035,0.996,2065,0.727,8.007,0.965,587.263,0.044,0.999,578,0.641,5.88,0.956,10.2616454,1.155363942,25.12820513,0.384321248
non_invasive,9_4,non_ap,5m,28.38472614,119.8179244,48,16.1,40,1,103.0776,103.0776,0,NA,1,NA,NA9,2141.41,0.035,0.996,2065,0.727,8.007,0.965,587.263,0.044,0.999,578,0.641,5.88,0.956,10.2616454,1.155363942,25.12820513,0.384321248
community,10_1,ap,1m,28.37380338,119.8164209,60,9.83,85.6,172,84.7509,79.4901,5.2608,0.789294897,15,0.809288805,DC10,2825.643,0.003,0.995,2751,0.879,10.038,0.997,1189.336,0.014,0.999,1177,0.744,7.593,0.986,8.987848359,0.901760924,25.82846004,0.337815391
community,10_2,ap,5m,28.37384539,119.8164309,60,11.46,89.7,221,81.0338,68.4089,12.6249,0.825315176,15,0.868164043,DA10,2150.908,0.003,0.999,2136,0.891,9.854,0.997,1441.053,0.021,0.996,1342,0.701,7.283,0.979,16.78823646,1.473562854,25.3411306,0.313544899
community,10_3,non_ap,1m,28.3739884,119.8164509,60,8.6,100,143,16.80853,15.95683,0.8517,0.577039118,6,0.583500416,NC10,3228.997,0.004,0.994,3116,0.868,10.078,0.996,1389.758,0.131,0.995,1253,0.529,5.446,0.869,13.27945027,1.24670917,26.54440154,0.307416956
community,10_4,non_ap,5m,28.37386076,119.8166315,60,8.6,65,39,61.8039,43.4377,18.3662,0.406981236,3,0.228796844,NA10,3871.846,0.001,0.992,3733,0.903,10.715,0.999,1277.366,0.116,0.996,1155,0.547,5.562,0.884,8.008710773,0.738693882,25.71926765,0.549393781
community,1_1,ap,1m,28.39050173,119.8204514,55,14.87,37,323,12.6633,12.6633,0,0.761427669,7,0.709256295,DC1,2724.422,0.002,0.997,2659,0.896,10.192,0.998,1270.127,0.028,0.998,1246,0.672,6.913,0.972,15.84097418,1.409770018,27.04031465,0.380297288
community,1_2,ap,5m,28.39036996,119.8205617,52,18.23,57.6,256,23.2163,22.7833,0.433,0.829864647,8,0.798065186,DA1,2027.472,0.032,0.996,1964,0.691,7.564,0.968,1606.932,0.033,0.993,1370,0.623,6.487,0.967,22.79569387,1.940741522,25.32274081,0.439114515
community,1_3,non_ap,1m,28.39030564,119.8203812,51,10.3,100,453,35.6088,27.9696,7.6392,0.677460818,7,0.633695403,NC1,2747.679,0.022,0.996,2673,0.792,9.014,0.978,1612.539,0.025,0.995,1481,0.686,7.226,0.975,18.0187875,1.73232963,25.04317789,0.542093991
community,1_4,non_ap,5m,28.39028589,119.8205116,52,15,86.9,344,39.3066,37.0452,2.2614,0.538796563,7,0.51776298,NA1,2954.448,0.011,0.995,2858,0.827,9.494,0.989,1367.617,0.031,0.998,1342,0.703,7.306,0.969,9.5412123,0.999735777,26.46502836,0.427817478
community,2_1,ap,1m,28.39298573,119.820722,54,3.12,34.4,58,57.1437,51.6632,5.4805,0.802755231,5,0.675980975,DC2,3233.202,0.005,0.992,3006,0.854,9.87,0.995,920.889,0.017,0.998,861,0.728,7.1,0.983,29.36087922,2.460157708,24.49168207,0.473265473
community,2_2,ap,5m,28.3930647,119.8207119,58,4.63,25,84,61.8798,61.8798,0,0.706039026,4,0.576247166,DA2,1999.086,0.011,0.997,1934,0.799,8.719,0.989,785,0.037,1,785,0.681,6.546,0.963,60.85420267,4.387153071,26.31578947,0.743242168
community,2_3,non_ap,1m,28.39319793,119.8208523,61,12.47,100,145,153.682,142.591,11.091,0.652330206,6,0.542877527,NC2,2691.612,0.004,0.996,2630,0.863,9.805,0.996,1606.205,0.025,0.995,1467,0.694,7.304,0.975,12.08224499,1.307804522,24.45907808,0.501371958
community,2_4,non_ap,5m,28.3929301,119.8209125,61,12.3,100,219,133.4466,127.4237,6.0229,0.839345407,6,0.746064511,NA2,3226.318,0.003,0.995,3132,0.885,10.278,0.997,2419.828,0.013,0.992,2200,0.749,8.312,0.987,11.9412516,1.016055151,26.88679245,0.409580723
community,3_1,ap,1m,28.39298573,119.820722,54,5.9,40,123,74.3587,74.3587,0,0.724201935,7,0.681869258,DC3,2702.765,0.008,0.994,2595,0.822,9.326,0.992,1010.519,0.032,0.998,987,0.67,6.66,0.968,19.37120505,2.017565493,24.5825603,0.572636611
community,3_2,ap,5m,28.39298371,119.8207119,54,8.87,61.5,154,112.27243,110.52343,1.749,0.759257745,8,0.733766234,DA3,2810.763,0.003,0.996,2736,0.874,9.976,0.997,871.727,0.05,0.999,852,0.637,6.205,0.95,31.24147559,2.364468956,24.43609023,0.596025415
community,3_3,non_ap,1m,28.39527384,119.8220958,69,6.4,100,395,50.15767,50.15767,0,0.278787981,7,0.212183945,NC3,2415.965,0.004,0.997,2356,0.875,9.805,0.996,1123.739,0.065,0.996,995,0.614,6.117,0.935,18.4308866,1.72803894,25.32751092,0.867454119
community,3_4,non_ap,5m,28.39537697,119.8221761,69,7.46,100,127,361.7731,361.7731,0,0.817761293,7,0.755409511,NA3,2715.743,0.004,0.996,2665,0.871,9.915,0.996,1109.341,0.094,0.997,998,0.581,5.789,0.906,22.23611768,1.884588767,25.06963788,0.773800596
community,4_1,ap,1m,28.38814422,119.81993,66,15.6,92.5,130,123.7405,123.7405,0,0.654665636,6,0.593372781,DC4,2513.251,0.004,0.997,2453,0.876,9.863,0.996,1568.135,0.038,0.995,1433,0.661,6.932,0.962,30.0638187,2.386404268,27.18446602,0.604781739
community,4_2,ap,5m,28.38819901,119.8198197,62,15.97,61.5,138,27.9637,25.8182,2.1455,0.728766711,13,0.780613317,DA4,2258.712,0.003,0.997,2200,0.884,9.813,0.997,1553.088,0.02,0.995,1435,0.698,7.315,0.98,25.07142459,1.977768127,25.24271845,0.407472443
community,4_3,non_ap,1m,28.38821713,119.8198899,64,17.25,100,135,168.9444,162.3451,6.5993,0.837340289,6,0.734485597,NC4,4058.554,0.003,0.989,3806,0.876,10.418,0.997,1260.879,0.046,0.996,1147,0.635,6.454,0.954,35.18708731,2.714092405,25.28625954,0.566800851
community,4_4,non_ap,5m,28.38825828,119.8199701,66,16.53,100,88,33.2266,33.2266,0,0.632094707,6,0.601756198,NA4,1960.454,0.003,0.999,1952,0.899,9.828,0.997,1464.839,0.019,0.996,1344,0.711,7.39,0.981,27.78850964,2.08920402,25.67975831,0.788294982
community,5_1,ap,1m,28.3883174,119.8184456,68,39.73,100,189,205.7789,200.0718,5.7071,0.850537378,12,0.845329078,DC5,3638.266,0.004,0.989,3382,0.854,10.014,0.996,985.53,0.029,0.998,933,0.697,6.874,0.971,20.89243439,1.999767865,25.52083333,0.82208658
community,5_2,ap,5m,28.38856804,119.8182751,58,18.07,33.5,65,55.4529,52.0495,3.4034,0.764454849,6,0.693491124,DA5,2683.516,0.003,0.996,2593,0.881,9.99,0.997,1228.617,0.056,0.997,1169,0.629,6.412,0.944,10.47122161,1.213856028,22.96819788,0.717754498
community,5_3,non_ap,1m,28.38843416,119.8183253,67,42.1,100,209,94.6867,94.6867,0,0.807704184,7,0.764542936,NC5,4056.125,0.004,0.989,3781,0.88,10.46,0.996,2175.491,0.01,0.995,2053,0.775,8.528,0.99,21.65180365,3.030244615,23.22404372,1.072117433
community,5_4,non_ap,5m,28.38873606,119.8183052,58,6.8,100,135,53.9643,53.9643,0,0.72592475,4,0.538381344,NA5,3793.355,0.003,0.99,3521,0.882,10.389,0.997,2120.67,0.021,0.993,1939,0.719,7.848,0.979,34.6550472,2.950225087,24.48210923,0.812716023
community,6_1,ap,1m,28.38399719,119.8200106,65,17.9,86.5,180,91.69201,91.69201,0,0.829452907,8,0.794814815,DC6,3043.319,0.004,0.995,2958,0.878,10.123,0.996,2057.311,0.012,0.994,1897,0.753,8.201,0.988,9.279285907,0.982134425,26.57973922,0.507974239
community,6_2,ap,5m,28.38403924,119.8200407,60,17.3,95.6,229,123.0971,122.5841,0.513,0.6500521,8,0.662382487,DA6,2860.48,0.009,0.995,2785,0.84,9.616,0.991,1758.219,0.016,0.994,1574,0.73,7.751,0.984,10.56053383,1.05479248,24.30886559,0.313562003
community,6_3,non_ap,1m,28.38399755,119.8202011,63,12.9,100,50,184.1198,184.1198,0,0.404496507,5,0.2872,NC6,3042.306,0.004,0.995,2968,0.876,10.107,0.996,1873.888,0.029,0.994,1708,0.677,7.266,0.971,17.37153437,1.536881719,25.4491018,0.794842906
community,6_4,non_ap,5m,28.38407261,119.8202413,61,12.6,100,34,116.0995,116.0995,0,0.43533545,5,0.313148789,NA6,4063.574,0.011,0.989,3837,0.84,9.995,0.989,1477.719,0.029,0.994,1308,0.661,6.839,0.971,8.38131248,0.881889741,25.18315018,0.321075977
community,7_1,ap,1m,28.38368139,119.8190177,58,35.7,49,83,52.4512,48.3371,4.1141,0.812282257,7,0.757729714,DC7,2645.496,0.004,0.996,2592,0.872,9.889,0.996,1034.185,0.058,0.999,1025,0.694,6.936,0.942,8.950669605,0.935261992,23.99232246,0.419739603
community,7_2,ap,5m,28.3835301,119.8188472,58,33.9,61.5,130,109.783,105.1785,4.6045,0.544164831,9,0.51147929,DA7,2770.619,0.02,0.995,2664,0.833,9.484,0.98,1580.857,0.014,0.998,1548,0.733,7.763,0.986,26.89403983,2.068161828,24.23469388,0.628058496
community,7_3,non_ap,1m,28.38331254,119.8185263,59,32.6,100,38,165.7227,160.1929,5.5298,0.726296248,6,0.66066482,NC7,1834.005,0.144,0.997,1789,0.615,6.646,0.856,1108.792,0.05,0.998,1076,0.616,6.205,0.95,7.652743121,0.845949009,22.32518955,0.348163788
community,7_4,non_ap,5m,28.38327971,119.8186165,58,15.3,81,46,95.0727,93.779,1.2937,0.648192167,5,0.578449905,NA7,2703.161,0.002,0.996,2628,0.892,10.137,0.998,1656.211,0.017,0.995,1528,0.724,7.658,0.983,39.56713916,3.312646915,23.63636364,0.583821629
community,8_1,ap,1m,28.37583021,119.8186673,44,23.07,44.3,107,106.91443,106.91443,0,0.394279262,7,0.329810464,DC8,4673.603,0.014,0.985,4296,0.824,9.95,0.986,1817.932,0.02,0.993,1564,0.685,7.272,0.98,7.086112613,0.690417923,24.47257384,0.453821132
community,8_2,ap,5m,28.38162576,119.8195394,46,16.83,100,265,51.03609,51.03609,0,0.712335915,11,0.737714489,DA8,2513.837,0.002,0.998,2499,0.891,10.059,0.998,1808.125,0.024,0.997,1768,0.72,7.765,0.976,8.081047885,0.880762394,27.66798419,0.480601227
community,8_3,non_ap,1m,28.38159171,119.8195093,45,14.5,100,204,15.1004,15.1004,0,0.290616144,6,0.270184544,NC8,2337.372,0.004,0.998,2319,0.872,9.75,0.996,1909.84,0.013,0.995,1750,0.751,8.091,0.987,7.354834361,0.751908158,26.34146341,0.354602309
community,8_4,non_ap,5m,28.38163676,119.8195394,46,12.85,100,36,22.59,21.7276,0.8624,0.653900862,5,0.575617284,NA8,1860,0.009,1,1860,0.862,9.365,0.991,1043.472,0.056,0.996,908,0.598,5.879,0.944,11.43721348,1.133346476,25.25684932,0.445296226
community,9_1,ap,1m,28.38351499,119.8182555,47,25.5,71.3,276,88.4673,87.3495,1.1178,0.791207029,17,0.838137996,DC9,1954.265,0.003,0.999,1947,0.885,9.665,0.997,1530.314,0.039,0.996,1418,0.652,6.823,0.961,12.59315934,1.342201604,26.99896158,0.503387219
community,9_2,ap,5m,28.38348885,119.8181752,48,29.1,79,132,56.1303,51.3888,4.7415,0.930432032,4,0.705578512,DA9,2701.679,0.002,0.996,2627,0.88,9.994,0.998,1126.791,0.049,0.997,1055,0.665,6.675,0.951,23.58455763,2.244442828,25.58139535,0.706494829
community,9_3,non_ap,1m,28.38474042,119.8180748,47,19.6,99,223,104.1315,97.0555,7.076,0.681677821,8,0.706831024,NC9,3175.831,0.004,0.995,3101,0.879,10.198,0.996,1327.308,0.025,0.997,1295,0.697,7.208,0.975,12.79492939,1.376327022,26.1627907,0.335072981
community,9_4,non_ap,5m,28.38472614,119.8179244,48,16.1,100,56,191.2811,191.2811,0,0.75291536,6,0.669642857,NA9,2141.41,0.035,0.996,2065,0.727,8.007,0.965,587.263,0.044,0.999,578,0.641,5.88,0.956,10.2616454,1.155363942,25.12820513,0.384321248
Alternanthera,10_1,ap,1m,28.37380338,119.8164209,60,9.83,13,15,12.2536,12.2536,0,NA,NA,NA,DC10,2825.643,0.003,0.995,2751,0.879,10.038,0.997,1189.336,0.014,0.999,1177,0.744,7.593,0.986,8.987848359,0.901760924,25.82846004,0.337815391
Alternanthera,10_2,ap,5m,28.37384539,119.8164309,60,11.46,19,23,42.6792,42.6792,0,NA,NA,NA,DA10,2150.908,0.003,0.999,2136,0.891,9.854,0.997,1441.053,0.021,0.996,1342,0.701,7.283,0.979,16.78823646,1.473562854,25.3411306,0.313544899
Alternanthera,1_1,ap,1m,28.39050173,119.8204514,55,14.87,30,101,11.3693,11.3693,0,NA,NA,NA,DC1,2724.422,0.002,0.997,2659,0.896,10.192,0.998,1270.127,0.028,0.998,1246,0.672,6.913,0.972,15.84097418,1.409770018,27.04031465,0.380297288
Alternanthera,1_2,ap,5m,28.39036996,119.8205617,52,18.23,25,60,12.4848,12.4848,0,NA,NA,NA,DA1,2027.472,0.032,0.996,1964,0.691,7.564,0.968,1606.932,0.033,0.993,1370,0.623,6.487,0.967,22.79569387,1.940741522,25.32274081,0.439114515
Alternanthera,2_1,ap,1m,28.39298573,119.820722,54,3.12,75,150,84.0821,84.0821,0,NA,NA,NA,DC2,3233.202,0.005,0.992,3006,0.854,9.87,0.995,920.889,0.017,0.998,861,0.728,7.1,0.983,29.36087922,2.460157708,24.49168207,0.473265473
Alternanthera,2_2,ap,5m,28.3930647,119.8207119,58,4.63,60,115,45.2363,45.2363,0,NA,NA,NA,DA2,1999.086,0.011,0.997,1934,0.799,8.719,0.989,785,0.037,1,785,0.681,6.546,0.963,60.85420267,4.387153071,26.31578947,0.743242168
Alternanthera,3_1,ap,1m,28.39298573,119.820722,54,5.9,90,200,125.5759,125.5759,0,NA,NA,NA,DC3,2702.765,0.008,0.994,2595,0.822,9.326,0.992,1010.519,0.032,0.998,987,0.67,6.66,0.968,19.37120505,2.017565493,24.5825603,0.572636611
Alternanthera,3_2,ap,5m,28.39298371,119.8207119,54,8.87,23,50,19.3727,19.3727,0,NA,NA,NA,DA3,2810.763,0.003,0.996,2736,0.874,9.976,0.997,871.727,0.05,0.999,852,0.637,6.205,0.95,31.24147559,2.364468956,24.43609023,0.596025415
Alternanthera,4_1,ap,1m,28.38814422,119.81993,66,15.6,67,33,25.6843,25.6843,0,NA,NA,NA,DC4,2513.251,0.004,0.997,2453,0.876,9.863,0.996,1568.135,0.038,0.995,1433,0.661,6.932,0.962,30.0638187,2.386404268,27.18446602,0.604781739
Alternanthera,4_2,ap,5m,28.38819901,119.8198197,62,15.97,36,41,6.6629,6.6629,0,NA,NA,NA,DA4,2258.712,0.003,0.997,2200,0.884,9.813,0.997,1553.088,0.02,0.995,1435,0.698,7.315,0.98,25.07142459,1.977768127,25.24271845,0.407472443
Alternanthera,5_1,ap,1m,28.3883174,119.8184456,68,39.73,3,3,9.6325,9.6325,0,NA,NA,NA,DC5,3638.266,0.004,0.989,3382,0.854,10.014,0.996,985.53,0.029,0.998,933,0.697,6.874,0.971,20.89243439,1.999767865,25.52083333,0.82208658
Alternanthera,5_2,ap,5m,28.38856804,119.8182751,58,18.07,33,67,0.3655,0.3655,0,NA,NA,NA,DA5,2683.516,0.003,0.996,2593,0.881,9.99,0.997,1228.617,0.056,0.997,1169,0.629,6.412,0.944,10.47122161,1.213856028,22.96819788,0.717754498
Alternanthera,6_1,ap,1m,28.38399719,119.8200106,65,17.9,30,60,33.4082,33.4082,0,NA,NA,NA,DC6,3043.319,0.004,0.995,2958,0.878,10.123,0.996,2057.311,0.012,0.994,1897,0.753,8.201,0.988,9.279285907,0.982134425,26.57973922,0.507974239
Alternanthera,6_2,ap,5m,28.38403924,119.8200407,60,17.3,21,48,22.2788,22.2788,0,NA,NA,NA,DA6,2860.48,0.009,0.995,2785,0.84,9.616,0.991,1758.219,0.016,0.994,1574,0.73,7.751,0.984,10.56053383,1.05479248,24.30886559,0.313562003
Alternanthera,7_1,ap,1m,28.38368139,119.8190177,58,35.7,12,26,30.4477,30.4477,0,NA,NA,NA,DC7,2645.496,0.004,0.996,2592,0.872,9.889,0.996,1034.185,0.058,0.999,1025,0.694,6.936,0.942,8.950669605,0.935261992,23.99232246,0.419739603
Alternanthera,7_2,ap,5m,28.3835301,119.8188472,58,33.9,11,22,9.3875,9.3875,0,NA,NA,NA,DA7,2770.619,0.02,0.995,2664,0.833,9.484,0.98,1580.857,0.014,0.998,1548,0.733,7.763,0.986,26.89403983,2.068161828,24.23469388,0.628058496
Alternanthera,8_1,ap,1m,28.37583021,119.8186673,44,23.07,9,21,10.3746,10.3746,0,NA,NA,NA,DC8,4673.603,0.014,0.985,4296,0.824,9.95,0.986,1817.932,0.02,0.993,1564,0.685,7.272,0.98,7.086112613,0.690417923,24.47257384,0.453821132
Alternanthera,8_2,ap,5m,28.38162576,119.8195394,46,16.83,3,4,1.8592,1.8592,0,NA,NA,NA,DA8,2513.837,0.002,0.998,2499,0.891,10.059,0.998,1808.125,0.024,0.997,1768,0.72,7.765,0.976,8.081047885,0.880762394,27.66798419,0.480601227
Alternanthera,9_1,ap,1m,28.38351499,119.8182555,47,25.5,37,56,28.1617,28.1617,0,NA,NA,NA,DC9,1954.265,0.003,0.999,1947,0.885,9.665,0.997,1530.314,0.039,0.996,1418,0.652,6.823,0.961,12.59315934,1.342201604,26.99896158,0.503387219
Alternanthera,9_2,ap,5m,28.38348885,119.8181752,48,29.1,50,68,37.4257,37.4257,0,NA,NA,NA,DA9,2701.679,0.002,0.996,2627,0.88,9.994,0.998,1126.791,0.049,0.997,1055,0.665,6.675,0.951,23.58455763,2.244442828,25.58139535,0.706494829
